C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Cam Talbot (36810026),Cam Talbot,36810026,G,7900,CGY@DET 11/27/2024 07:30PM ET,DET,15.06
,,,,,,,,,,G,Alex Lyon (36810027),Alex Lyon,36810027,G,7900,CGY@DET 11/27/2024 07:30PM ET,DET,12.78
,,,,,,,,,,RW,Sam Reinhart (36808877),Sam Reinhart,36808877,W/UTIL,7900,TOR@FLA 11/27/2024 07:30PM ET,FLA,15.85
,,,,,,,,,,G,Daniil Tarasov (36810023),Daniil Tarasov,36810023,G,7900,MTL@CBJ 11/27/2024 07:30PM ET,CBJ,6.54
,,,,,,,,,,G,Troy Grosenick (36810029),Troy Grosenick,36810029,G,7800,MIN@BUF 11/27/2024 07:00PM ET,MIN,0
,,,,,,,,,,G,Ilya Sorokin (36810030),Ilya Sorokin,36810030,G,7800,BOS@NYI 11/27/2024 07:30PM ET,NYI,14
,,,,,,,,,,G,Semyon Varlamov (36810031),Semyon Varlamov,36810031,G,7800,BOS@NYI 11/27/2024 07:30PM ET,NYI,9.52
,,,,,,,,,,G,Kevin Lankinen (36810028),Kevin Lankinen,36810028,G,7800,VAN@PIT 11/27/2024 07:30PM ET,VAN,12.23
,,,,,,,,,,LW,Filip Forsberg (36808879),Filip Forsberg,36808879,W/UTIL,7800,PHI@NSH 11/27/2024 08:00PM ET,NSH,12.46
,,,,,,,,,,G,Eric Comrie (36810032),Eric Comrie,36810032,G,7800,WPG@LAK 11/27/2024 10:00PM ET,WPG,14.28
,,,,,,,,,,LW,Alex Ovechkin (36808881),Alex Ovechkin,36808881,W/UTIL,7700,WSH@TBL 11/27/2024 07:30PM ET,WSH,17.16
,,,,,,,,,,D,Roman Josi (36809499),Roman Josi,36809499,D/UTIL,7700,PHI@NSH 11/27/2024 08:00PM ET,NSH,12.97
,,,,,,,,,,C,Tage Thompson (36808551),Tage Thompson,36808551,C/UTIL,7600,MIN@BUF 11/27/2024 07:00PM ET,BUF,14.13
,,,,,,,,,,RW,William Nylander (36808883),William Nylander,36808883,W/UTIL,7600,TOR@FLA 11/27/2024 07:30PM ET,TOR,15.21
,,,,,,,,,,G,Jeremy Swayman (36810033),Jeremy Swayman,36810033,G,7600,BOS@NYI 11/27/2024 07:30PM ET,BOS,9.48
,,,,,,,,,,G,Joonas Korpisalo (36810038),Joonas Korpisalo,36810038,G,7600,BOS@NYI 11/27/2024 07:30PM ET,BOS,12.56
,,,,,,,,,,G,Arturs Silovs (36810034),Arturs Silovs,36810034,G,7600,VAN@PIT 11/27/2024 07:30PM ET,VAN,3.67
,,,,,,,,,,G,Thatcher Demko (36810035),Thatcher Demko,36810035,G,7600,VAN@PIT 11/27/2024 07:30PM ET,VAN,0
,,,,,,,,,,G,Alex Nedeljkovic (36810036),Alex Nedeljkovic,36810036,G,7600,VAN@PIT 11/27/2024 07:30PM ET,PIT,7.4
,,,,,,,,,,G,Tristan Jarry (36810037),Tristan Jarry,36810037,G,7600,VAN@PIT 11/27/2024 07:30PM ET,PIT,5.53
,,,,,,,,,,G,Dustin Wolf (36810039),Dustin Wolf,36810039,G,7500,CGY@DET 11/27/2024 07:30PM ET,CGY,17.02
